Order	,	Name	,	Latitude	,	Longitude	,	Date	,	Time
36	,	User 1	,	39.905406	,	116.385215	,	2008-11-10	,	0:06:38
37	,	User 1	,	39.905371	,	116.385213	,	2008-11-10	,	0:06:43
38	,	User 1	,	39.905308	,	116.385231	,	2008-11-10	,	0:06:48
39	,	User 1	,	39.905241	,	116.385219	,	2008-11-10	,	0:06:53
40	,	User 1	,	39.905161	,	116.385234	,	2008-11-10	,	0:06:58
41	,	User 1	,	39.905101	,	116.385256	,	2008-11-10	,	0:07:03
42	,	User 1	,	39.905043	,	116.385271	,	2008-11-10	,	0:07:08
43	,	User 1	,	39.904976	,	116.385278	,	2008-11-10	,	0:07:13
44	,	User 1	,	39.904908	,	116.385278	,	2008-11-10	,	0:07:18
45	,	User 1	,	39.904856	,	116.385279	,	2008-11-10	,	0:07:23
46	,	User 1	,	39.904756	,	116.385305	,	2008-11-10	,	0:07:28
47	,	User 1	,	39.904698	,	116.385307	,	2008-11-10	,	0:07:33
48	,	User 1	,	39.904618	,	116.38533	,	2008-11-10	,	0:07:38
49	,	User 1	,	39.904537	,	116.385341	,	2008-11-10	,	0:07:43
50	,	User 1	,	39.904472	,	116.385339	,	2008-11-10	,	0:07:48
51	,	User 1	,	39.904418	,	116.385326	,	2008-11-10	,	0:07:53
52	,	User 1	,	39.904362	,	116.385323	,	2008-11-10	,	0:07:58
53	,	User 1	,	39.904296	,	116.385335	,	2008-11-10	,	0:08:03
54	,	User 1	,	39.904243	,	116.385314	,	2008-11-10	,	0:08:08
55	,	User 1	,	39.904191	,	116.385299	,	2008-11-10	,	0:08:13
56	,	User 1	,	39.904107	,	116.385315	,	2008-11-10	,	0:08:18
57	,	User 1	,	39.904015	,	116.385341	,	2008-11-10	,	0:08:23
58	,	User 1	,	39.903953	,	116.385367	,	2008-11-10	,	0:08:28
59	,	User 1	,	39.903913	,	116.385347	,	2008-11-10	,	0:08:33
60	,	User 1	,	39.903859	,	116.385348	,	2008-11-10	,	0:08:38
61	,	User 1	,	39.903751	,	116.385366	,	2008-11-10	,	0:08:43
62	,	User 1	,	39.903712	,	116.385369	,	2008-11-10	,	0:08:48
63	,	User 1	,	39.903723	,	116.385342	,	2008-11-10	,	0:08:53
64	,	User 1	,	39.903637	,	116.385422	,	2008-11-10	,	0:08:58
65	,	User 1	,	39.903594	,	116.385403	,	2008-11-10	,	0:09:03
66	,	User 1	,	39.903519	,	116.385362	,	2008-11-10	,	0:09:08
67	,	User 1	,	39.903459	,	116.385354	,	2008-11-10	,	0:09:13
68	,	User 1	,	39.903367	,	116.385393	,	2008-11-10	,	0:09:18
69	,	User 1	,	39.903265	,	116.385404	,	2008-11-10	,	0:09:23
70	,	User 1	,	39.903187	,	116.385376	,	2008-11-10	,	0:09:28
71	,	User 1	,	39.903124	,	116.385381	,	2008-11-10	,	0:09:33
72	,	User 1	,	39.903071	,	116.385374	,	2008-11-10	,	0:09:38
73	,	User 1	,	39.902995	,	116.385373	,	2008-11-10	,	0:09:43
74	,	User 1	,	39.902931	,	116.385354	,	2008-11-10	,	0:09:48
75	,	User 1	,	39.902861	,	116.385346	,	2008-11-10	,	0:09:53
76	,	User 1	,	39.902803	,	116.385367	,	2008-11-10	,	0:09:58
77	,	User 1	,	39.902732	,	116.385387	,	2008-11-10	,	0:10:03
78	,	User 1	,	39.902637	,	116.385389	,	2008-11-10	,	0:10:08
79	,	User 1	,	39.902568	,	116.385385	,	2008-11-10	,	0:10:13
80	,	User 1	,	39.902519	,	116.385362	,	2008-11-10	,	0:10:18
81	,	User 1	,	39.902443	,	116.385354	,	2008-11-10	,	0:10:23
82	,	User 1	,	39.902374	,	116.385374	,	2008-11-10	,	0:10:28
83	,	User 1	,	39.902316	,	116.385383	,	2008-11-10	,	0:10:33
84	,	User 1	,	39.902266	,	116.385363	,	2008-11-10	,	0:10:38
85	,	User 1	,	39.902185	,	116.385369	,	2008-11-10	,	0:10:43
86	,	User 1	,	39.902117	,	116.385378	,	2008-11-10	,	0:10:48
87	,	User 1	,	39.902058	,	116.385343	,	2008-11-10	,	0:10:53
88	,	User 1	,	39.901992	,	116.385317	,	2008-11-10	,	0:10:58
89	,	User 1	,	39.901925	,	116.385277	,	2008-11-10	,	0:11:03
90	,	User 1	,	39.901874	,	116.385264	,	2008-11-10	,	0:11:08
91	,	User 1	,	39.9018	,	116.385307	,	2008-11-10	,	0:11:13
92	,	User 1	,	39.901727	,	116.38533	,	2008-11-10	,	0:11:18
93	,	User 1	,	39.901648	,	116.385339	,	2008-11-10	,	0:11:23
94	,	User 1	,	39.901576	,	116.385347	,	2008-11-10	,	0:11:28
95	,	User 1	,	39.901504	,	116.385337	,	2008-11-10	,	0:11:33
96	,	User 1	,	39.901406	,	116.385315	,	2008-11-10	,	0:11:38
97	,	User 1	,	39.901346	,	116.385325	,	2008-11-10	,	0:11:43
98	,	User 1	,	39.901273	,	116.385327	,	2008-11-10	,	0:11:48
99	,	User 1	,	39.901206	,	116.385314	,	2008-11-10	,	0:11:53
100	,	User 1	,	39.90113	,	116.385311	,	2008-11-10	,	0:11:58
101	,	User 1	,	39.901042	,	116.38531	,	2008-11-10	,	0:12:03
102	,	User 1	,	39.900964	,	116.385303	,	2008-11-10	,	0:12:08
103	,	User 1	,	39.900893	,	116.385315	,	2008-11-10	,	0:12:13
104	,	User 1	,	39.900805	,	116.385332	,	2008-11-10	,	0:12:18
105	,	User 1	,	39.900752	,	116.385354	,	2008-11-10	,	0:12:23
106	,	User 1	,	39.900686	,	116.38535	,	2008-11-10	,	0:12:28
107	,	User 1	,	39.900633	,	116.385346	,	2008-11-10	,	0:12:33
108	,	User 1	,	39.900579	,	116.385341	,	2008-11-10	,	0:12:38
109	,	User 1	,	39.900526	,	116.385355	,	2008-11-10	,	0:12:43
110	,	User 1	,	39.900488	,	116.385338	,	2008-11-10	,	0:12:48
111	,	User 1	,	39.900488	,	116.385338	,	2008-11-10	,	0:12:51
112	,	User 1	,	39.900494	,	116.385334	,	2008-11-10	,	0:12:53
113	,	User 1	,	39.900483	,	116.385374	,	2008-11-10	,	0:12:58
114	,	User 1	,	39.900506	,	116.385437	,	2008-11-10	,	0:13:03
115	,	User 1	,	39.900489	,	116.385498	,	2008-11-10	,	0:13:08
116	,	User 1	,	39.900486	,	116.385574	,	2008-11-10	,	0:13:13
117	,	User 1	,	39.900472	,	116.385671	,	2008-11-10	,	0:13:18
118	,	User 1	,	39.900483	,	116.38573	,	2008-11-10	,	0:13:23
119	,	User 1	,	39.900486	,	116.385841	,	2008-11-10	,	0:13:28
120	,	User 1	,	39.900488	,	116.385951	,	2008-11-10	,	0:13:33
121	,	User 1	,	39.900535	,	116.386056	,	2008-11-10	,	0:13:38
122	,	User 1	,	39.90055	,	116.386115	,	2008-11-10	,	0:13:43
123	,	User 1	,	39.900545	,	116.386155	,	2008-11-10	,	0:13:48
124	,	User 1	,	39.900549	,	116.38626	,	2008-11-10	,	0:13:53
125	,	User 1	,	39.900585	,	116.386371	,	2008-11-10	,	0:13:58
126	,	User 1	,	39.900557	,	116.386416	,	2008-11-10	,	0:14:03
127	,	User 1	,	39.900523	,	116.386517	,	2008-11-10	,	0:14:08
128	,	User 1	,	39.900521	,	116.386622	,	2008-11-10	,	0:14:13
129	,	User 1	,	39.900518	,	116.386693	,	2008-11-10	,	0:14:18
130	,	User 1	,	39.900526	,	116.386775	,	2008-11-10	,	0:14:23
131	,	User 1	,	39.900549	,	116.386782	,	2008-11-10	,	0:14:28
132	,	User 1	,	39.900572	,	116.386777	,	2008-11-10	,	0:14:33
133	,	User 1	,	39.900631	,	116.38676	,	2008-11-10	,	0:14:38
134	,	User 1	,	39.900717	,	116.386741	,	2008-11-10	,	0:14:43
135	,	User 1	,	39.900687	,	116.38746	,	2008-11-10	,	0:15:38
136	,	User 1	,	39.900756	,	116.387208	,	2008-11-10	,	0:15:43
137	,	User 1	,	39.900735	,	116.387199	,	2008-11-10	,	0:15:48
138	,	User 1	,	39.900768	,	116.387225	,	2008-11-10	,	0:15:53
139	,	User 1	,	39.900772	,	116.3872	,	2008-11-10	,	0:15:58
140	,	User 1	,	39.900747	,	116.387148	,	2008-11-10	,	0:16:03
141	,	User 1	,	39.90072	,	116.38713	,	2008-11-10	,	0:16:08
142	,	User 1	,	39.90072	,	116.38713	,	2008-11-10	,	0:16:11
143	,	User 1	,	39.900713	,	116.387127	,	2008-11-10	,	0:16:13
144	,	User 1	,	39.900703	,	116.387115	,	2008-11-10	,	0:16:18
145	,	User 1	,	39.900691	,	116.386907	,	2008-11-10	,	0:16:23
146	,	User 1	,	39.900691	,	116.386907	,	2008-11-10	,	0:16:26
147	,	User 1	,	39.900688	,	116.386899	,	2008-11-10	,	0:16:28
148	,	User 1	,	39.900719	,	116.386765	,	2008-11-10	,	0:16:33
149	,	User 1	,	39.900753	,	116.386647	,	2008-11-10	,	0:16:38
150	,	User 1	,	39.900773	,	116.386554	,	2008-11-10	,	0:16:43
151	,	User 1	,	39.900791	,	116.38646	,	2008-11-10	,	0:16:48
152	,	User 1	,	39.900815	,	116.38642	,	2008-11-10	,	0:16:53
153	,	User 1	,	39.900815	,	116.38642	,	2008-11-10	,	0:16:56
154	,	User 1	,	39.900808	,	116.386425	,	2008-11-10	,	0:16:58
155	,	User 1	,	39.900791	,	116.386423	,	2008-11-10	,	0:17:03
156	,	User 1	,	39.900782	,	116.386416	,	2008-11-10	,	0:17:08
157	,	User 1	,	39.90079	,	116.386449	,	2008-11-10	,	0:17:13
158	,	User 1	,	39.900806	,	116.386464	,	2008-11-10	,	0:17:18
159	,	User 1	,	39.900815	,	116.386456	,	2008-11-10	,	0:17:23
160	,	User 1	,	39.900847	,	116.386456	,	2008-11-10	,	0:17:28
161	,	User 1	,	39.900848	,	116.386431	,	2008-11-10	,	0:17:33
162	,	User 1	,	39.900848	,	116.386431	,	2008-11-10	,	0:17:36
163	,	User 1	,	39.90085	,	116.386433	,	2008-11-10	,	0:17:38
164	,	User 1	,	39.900871	,	116.386416	,	2008-11-10	,	0:17:43
165	,	User 1	,	39.900881	,	116.386353	,	2008-11-10	,	0:17:48
166	,	User 1	,	39.900848	,	116.386362	,	2008-11-10	,	0:17:53
167	,	User 1	,	39.900835	,	116.386355	,	2008-11-10	,	0:17:58
168	,	User 1	,	39.901489	,	116.386615	,	2008-11-10	,	0:21:58
169	,	User 1	,	39.90119	,	116.386841	,	2008-11-10	,	0:22:03
170	,	User 1	,	39.901135	,	116.386803	,	2008-11-10	,	0:22:08
171	,	User 1	,	39.900996	,	116.386813	,	2008-11-10	,	0:22:13
172	,	User 1	,	39.900901	,	116.386873	,	2008-11-10	,	0:22:18
173	,	User 1	,	39.900824	,	116.386906	,	2008-11-10	,	0:22:23
174	,	User 1	,	39.900735	,	116.386833	,	2008-11-10	,	0:22:28
175	,	User 1	,	39.900714	,	116.386702	,	2008-11-10	,	0:22:33
176	,	User 1	,	39.900682	,	116.386621	,	2008-11-10	,	0:22:38
177	,	User 1	,	39.900676	,	116.386528	,	2008-11-10	,	0:22:43
178	,	User 1	,	39.900689	,	116.386451	,	2008-11-10	,	0:22:48
179	,	User 1	,	39.900832	,	116.387605	,	2008-11-10	,	0:23:08
180	,	User 1	,	39.900861	,	116.387354	,	2008-11-10	,	0:23:13
181	,	User 1	,	39.900688	,	116.386509	,	2008-11-10	,	0:23:18
182	,	User 1	,	39.900623	,	116.386237	,	2008-11-10	,	0:23:23
183	,	User 1	,	39.900496	,	116.385382	,	2008-11-10	,	0:23:28
184	,	User 1	,	39.900877	,	116.386255	,	2008-11-10	,	0:25:48
185	,	User 1	,	39.9008	,	116.386388	,	2008-11-10	,	0:25:53
186	,	User 1	,	39.9008	,	116.386388	,	2008-11-10	,	0:25:56
187	,	User 1	,	39.900799	,	116.386391	,	2008-11-10	,	0:25:58
188	,	User 1	,	39.900813	,	116.386403	,	2008-11-10	,	0:26:03
189	,	User 1	,	39.900815	,	116.386446	,	2008-11-10	,	0:26:08
190	,	User 1	,	39.900846	,	116.386434	,	2008-11-10	,	0:26:13
191	,	User 1	,	39.900849	,	116.386418	,	2008-11-10	,	0:26:18
192	,	User 1	,	39.90086	,	116.386453	,	2008-11-10	,	0:26:23
193	,	User 1	,	39.900875	,	116.386502	,	2008-11-10	,	0:26:28
194	,	User 1	,	39.900874	,	116.386513	,	2008-11-10	,	0:26:33
195	,	User 1	,	39.900867	,	116.386536	,	2008-11-10	,	0:26:38
196	,	User 1	,	39.900844	,	116.38655	,	2008-11-10	,	0:26:43
197	,	User 1	,	39.90086	,	116.386578	,	2008-11-10	,	0:26:48
198	,	User 1	,	39.900871	,	116.38662	,	2008-11-10	,	0:26:53
199	,	User 1	,	39.900611	,	116.38667	,	2008-11-10	,	0:40:38
200	,	User 1	,	39.900596	,	116.386653	,	2008-11-10	,	0:40:43
201	,	User 1	,	39.900572	,	116.386655	,	2008-11-10	,	0:40:48
202	,	User 1	,	39.900574	,	116.386668	,	2008-11-10	,	0:40:53
203	,	User 1	,	39.900577	,	116.386659	,	2008-11-10	,	0:40:58
204	,	User 1	,	39.900585	,	116.386656	,	2008-11-10	,	0:41:03
205	,	User 1	,	39.900585	,	116.386656	,	2008-11-10	,	0:41:06
206	,	User 1	,	39.90059	,	116.386662	,	2008-11-10	,	0:41:08
207	,	User 1	,	39.900592	,	116.386691	,	2008-11-10	,	0:41:13
208	,	User 1	,	39.900632	,	116.386731	,	2008-11-10	,	0:41:18
209	,	User 1	,	39.900629	,	116.386741	,	2008-11-10	,	0:41:23
210	,	User 1	,	39.900629	,	116.386741	,	2008-11-10	,	0:41:26
211	,	User 1	,	39.900631	,	116.386733	,	2008-11-10	,	0:41:28
212	,	User 1	,	39.900634	,	116.386714	,	2008-11-10	,	0:41:33
213	,	User 1	,	39.900653	,	116.386699	,	2008-11-10	,	0:41:38
214	,	User 1	,	39.900653	,	116.386699	,	2008-11-10	,	0:41:41
215	,	User 1	,	39.900661	,	116.386703	,	2008-11-10	,	0:41:43
216	,	User 1	,	39.900672	,	116.386724	,	2008-11-10	,	0:41:48
217	,	User 1	,	39.900698	,	116.386745	,	2008-11-10	,	0:41:53
218	,	User 1	,	39.90072	,	116.386763	,	2008-11-10	,	0:41:58
219	,	User 1	,	39.900738	,	116.386798	,	2008-11-10	,	0:42:03
220	,	User 1	,	39.900703	,	116.386764	,	2008-11-10	,	0:42:08
221	,	User 1	,	39.90071	,	116.386741	,	2008-11-10	,	0:42:13
222	,	User 1	,	39.900684	,	116.386703	,	2008-11-10	,	0:42:18
223	,	User 1	,	39.900674	,	116.386677	,	2008-11-10	,	0:42:23
224	,	User 1	,	39.900674	,	116.386677	,	2008-11-10	,	0:42:26
225	,	User 1	,	39.900677	,	116.386679	,	2008-11-10	,	0:42:28
226	,	User 1	,	39.900672	,	116.386613	,	2008-11-10	,	0:42:33
227	,	User 1	,	39.900682	,	116.386588	,	2008-11-10	,	0:42:38
228	,	User 1	,	39.900668	,	116.386566	,	2008-11-10	,	0:42:43
229	,	User 1	,	39.90066	,	116.386561	,	2008-11-10	,	0:42:48
230	,	User 1	,	39.90066	,	116.386561	,	2008-11-10	,	0:42:51
231	,	User 1	,	39.90066	,	116.386569	,	2008-11-10	,	0:42:53
232	,	User 1	,	39.900642	,	116.386557	,	2008-11-10	,	0:42:58
233	,	User 1	,	39.900667	,	116.386507	,	2008-11-10	,	0:43:03
234	,	User 1	,	39.900699	,	116.386502	,	2008-11-10	,	0:43:08
235	,	User 1	,	39.900742	,	116.386476	,	2008-11-10	,	0:43:13
236	,	User 1	,	39.900784	,	116.386464	,	2008-11-10	,	0:43:18
237	,	User 1	,	39.900829	,	116.386476	,	2008-11-10	,	0:43:23
238	,	User 1	,	39.900847	,	116.386433	,	2008-11-10	,	0:43:28
239	,	User 1	,	39.900848	,	116.386445	,	2008-11-10	,	0:43:33
240	,	User 1	,	39.900845	,	116.386456	,	2008-11-10	,	0:43:38
241	,	User 1	,	39.900847	,	116.386444	,	2008-11-10	,	0:43:43
242	,	User 1	,	39.900851	,	116.386433	,	2008-11-10	,	0:43:48
243	,	User 1	,	39.900836	,	116.386438	,	2008-11-10	,	0:43:53
244	,	User 1	,	39.900829	,	116.386449	,	2008-11-10	,	0:43:58
245	,	User 1	,	39.900789	,	116.38649	,	2008-11-10	,	0:44:03
246	,	User 1	,	39.900766	,	116.386504	,	2008-11-10	,	0:44:08
247	,	User 1	,	39.900746	,	116.386524	,	2008-11-10	,	0:44:13
248	,	User 1	,	39.900694	,	116.386528	,	2008-11-10	,	0:44:18
249	,	User 1	,	39.900644	,	116.386533	,	2008-11-10	,	0:44:23
250	,	User 1	,	39.900596	,	116.386525	,	2008-11-10	,	0:44:28
251	,	User 1	,	39.90055	,	116.386503	,	2008-11-10	,	0:44:33
252	,	User 1	,	39.900535	,	116.386521	,	2008-11-10	,	0:44:38
253	,	User 1	,	39.900554	,	116.386534	,	2008-11-10	,	0:44:43
254	,	User 1	,	39.900566	,	116.386549	,	2008-11-10	,	0:44:48
255	,	User 1	,	39.900578	,	116.386563	,	2008-11-10	,	0:44:53
256	,	User 1	,	39.900648	,	116.386606	,	2008-11-10	,	0:44:58
257	,	User 1	,	39.900717	,	116.386655	,	2008-11-10	,	0:45:03
258	,	User 1	,	39.90075	,	116.386692	,	2008-11-10	,	0:45:08
259	,	User 1	,	39.900796	,	116.386711	,	2008-11-10	,	0:45:13
260	,	User 1	,	39.900819	,	116.386707	,	2008-11-10	,	0:45:18
261	,	User 1	,	39.900827	,	116.386711	,	2008-11-10	,	0:45:23
262	,	User 1	,	39.900824	,	116.386704	,	2008-11-10	,	0:45:28
263	,	User 1	,	39.900829	,	116.386696	,	2008-11-10	,	0:45:33
264	,	User 1	,	39.900829	,	116.386688	,	2008-11-10	,	0:45:38
265	,	User 1	,	39.900823	,	116.386689	,	2008-11-10	,	0:45:43
266	,	User 1	,	39.900817	,	116.386691	,	2008-11-10	,	0:45:48
267	,	User 1	,	39.900817	,	116.386691	,	2008-11-10	,	0:45:51
268	,	User 1	,	39.900814	,	116.386691	,	2008-11-10	,	0:45:53
269	,	User 1	,	39.900838	,	116.386699	,	2008-11-10	,	0:45:58
270	,	User 1	,	39.900855	,	116.386707	,	2008-11-10	,	0:46:03
271	,	User 1	,	39.900856	,	116.386697	,	2008-11-10	,	0:46:08
272	,	User 1	,	39.900856	,	116.386697	,	2008-11-10	,	0:46:11
273	,	User 1	,	39.900855	,	116.386693	,	2008-11-10	,	0:46:13
274	,	User 1	,	39.900829	,	116.386685	,	2008-11-10	,	0:46:18
275	,	User 1	,	39.900815	,	116.38669	,	2008-11-10	,	0:46:23
276	,	User 1	,	39.900766	,	116.386674	,	2008-11-10	,	0:46:28
277	,	User 1	,	39.900717	,	116.386666	,	2008-11-10	,	0:46:33
278	,	User 1	,	39.900645	,	116.386608	,	2008-11-10	,	0:46:43
279	,	User 1	,	39.900698	,	116.386638	,	2008-11-10	,	0:46:48
280	,	User 1	,	39.900702	,	116.386634	,	2008-11-10	,	0:46:53
281	,	User 1	,	39.900701	,	116.386634	,	2008-11-10	,	0:46:58
282	,	User 1	,	39.900707	,	116.386642	,	2008-11-10	,	0:47:03
283	,	User 1	,	39.900707	,	116.386642	,	2008-11-10	,	0:47:06
284	,	User 1	,	39.900714	,	116.38665	,	2008-11-10	,	0:47:08
285	,	User 1	,	39.900723	,	116.386653	,	2008-11-10	,	0:47:13
286	,	User 1	,	39.900735	,	116.386673	,	2008-11-10	,	0:47:18
287	,	User 1	,	39.900759	,	116.386696	,	2008-11-10	,	0:47:23
288	,	User 1	,	39.90076	,	116.386717	,	2008-11-10	,	0:47:28
289	,	User 1	,	39.900771	,	116.386729	,	2008-11-10	,	0:47:33
290	,	User 1	,	39.90076	,	116.386731	,	2008-11-10	,	0:47:38
291	,	User 1	,	39.90072	,	116.386722	,	2008-11-10	,	0:47:43
292	,	User 1	,	39.900746	,	116.386721	,	2008-11-10	,	0:47:48
293	,	User 1	,	39.900796	,	116.386738	,	2008-11-10	,	0:47:53
294	,	User 1	,	39.900849	,	116.386752	,	2008-11-10	,	0:47:58
295	,	User 1	,	39.900839	,	116.386728	,	2008-11-10	,	0:48:03
296	,	User 1	,	39.900859	,	116.386751	,	2008-11-10	,	0:48:08
297	,	User 1	,	39.900878	,	116.386763	,	2008-11-10	,	0:48:13
298	,	User 1	,	39.900864	,	116.386763	,	2008-11-10	,	0:48:18
299	,	User 1	,	39.900818	,	116.386713	,	2008-11-10	,	0:48:23
300	,	User 1	,	39.900811	,	116.386678	,	2008-11-10	,	0:48:28
301	,	User 1	,	39.900801	,	116.386644	,	2008-11-10	,	0:48:33
302	,	User 1	,	39.900798	,	116.386633	,	2008-11-10	,	0:48:38
303	,	User 1	,	39.900793	,	116.386612	,	2008-11-10	,	0:48:43
304	,	User 1	,	39.900784	,	116.386608	,	2008-11-10	,	0:48:48
305	,	User 1	,	39.900784	,	116.386584	,	2008-11-10	,	0:48:53
306	,	User 1	,	39.900777	,	116.386562	,	2008-11-10	,	0:48:58
307	,	User 1	,	39.900756	,	116.386538	,	2008-11-10	,	0:49:03
308	,	User 1	,	39.90074	,	116.38654	,	2008-11-10	,	0:49:08
309	,	User 1	,	39.90074	,	116.38654	,	2008-11-10	,	0:49:11
310	,	User 1	,	39.900737	,	116.386537	,	2008-11-10	,	0:49:13
311	,	User 1	,	39.900716	,	116.386548	,	2008-11-10	,	0:49:18
312	,	User 1	,	39.900716	,	116.386548	,	2008-11-10	,	0:49:21
313	,	User 1	,	39.900717	,	116.386554	,	2008-11-10	,	0:49:23
314	,	User 1	,	39.900716	,	116.386566	,	2008-11-10	,	0:49:28
315	,	User 1	,	39.900709	,	116.386577	,	2008-11-10	,	0:49:33
316	,	User 1	,	39.900706	,	116.386578	,	2008-11-10	,	0:49:38
317	,	User 1	,	39.900706	,	116.386578	,	2008-11-10	,	0:49:41
318	,	User 1	,	39.900703	,	116.386583	,	2008-11-10	,	0:49:43
319	,	User 1	,	39.900712	,	116.386581	,	2008-11-10	,	0:49:48
320	,	User 1	,	39.900712	,	116.386581	,	2008-11-10	,	0:49:51
321	,	User 1	,	39.90072	,	116.386577	,	2008-11-10	,	0:49:53
322	,	User 1	,	39.90072	,	116.386567	,	2008-11-10	,	0:49:58
323	,	User 1	,	39.900719	,	116.386558	,	2008-11-10	,	0:50:03
324	,	User 1	,	39.900724	,	116.386554	,	2008-11-10	,	0:50:08
325	,	User 1	,	39.900728	,	116.38655	,	2008-11-10	,	0:50:13
326	,	User 1	,	39.900728	,	116.38655	,	2008-11-10	,	0:50:16
327	,	User 1	,	39.900726	,	116.386551	,	2008-11-10	,	0:50:18
328	,	User 1	,	39.900701	,	116.386571	,	2008-11-10	,	0:50:23
329	,	User 1	,	39.900673	,	116.386574	,	2008-11-10	,	0:50:28
330	,	User 1	,	39.900664	,	116.386567	,	2008-11-10	,	0:50:33
331	,	User 1	,	39.900663	,	116.386557	,	2008-11-10	,	0:50:38
332	,	User 1	,	39.900669	,	116.386519	,	2008-11-10	,	0:50:43
333	,	User 1	,	39.900665	,	116.386482	,	2008-11-10	,	0:50:48
334	,	User 1	,	39.900648	,	116.3865	,	2008-11-10	,	0:50:53
335	,	User 1	,	39.900648	,	116.3865	,	2008-11-10	,	0:50:56
336	,	User 1	,	39.900647	,	116.386506	,	2008-11-10	,	0:50:58
337	,	User 1	,	39.900616	,	116.386547	,	2008-11-10	,	0:51:03
338	,	User 1	,	39.90061	,	116.386573	,	2008-11-10	,	0:51:08
339	,	User 1	,	39.900604	,	116.38658	,	2008-11-10	,	0:51:13
340	,	User 1	,	39.9006	,	116.386582	,	2008-11-10	,	0:51:18
341	,	User 1	,	39.900596	,	116.386582	,	2008-11-10	,	0:51:23
342	,	User 1	,	39.900596	,	116.386581	,	2008-11-10	,	0:51:28
343	,	User 1	,	39.900596	,	116.386581	,	2008-11-10	,	0:51:31
344	,	User 1	,	39.900594	,	116.386589	,	2008-11-10	,	0:51:33
345	,	User 1	,	39.900576	,	116.386576	,	2008-11-10	,	0:51:38
346	,	User 1	,	39.900575	,	116.386575	,	2008-11-10	,	0:51:43
347	,	User 1	,	39.900573	,	116.386569	,	2008-11-10	,	0:51:48
348	,	User 1	,	39.900573	,	116.386569	,	2008-11-10	,	0:51:51
349	,	User 1	,	39.900577	,	116.386564	,	2008-11-10	,	0:51:53
350	,	User 1	,	39.900606	,	116.386556	,	2008-11-10	,	0:51:58
351	,	User 1	,	39.900631	,	116.386564	,	2008-11-10	,	0:52:03
352	,	User 1	,	39.900627	,	116.386558	,	2008-11-10	,	0:52:08
353	,	User 1	,	39.900627	,	116.386558	,	2008-11-10	,	0:52:11
354	,	User 1	,	39.90062	,	116.386556	,	2008-11-10	,	0:52:13
355	,	User 1	,	39.900652	,	116.386585	,	2008-11-10	,	0:52:18
356	,	User 1	,	39.900666	,	116.386672	,	2008-11-10	,	0:52:23
357	,	User 1	,	39.900698	,	116.386719	,	2008-11-10	,	0:52:28
