;Longitude;;Latitude;;Date;Time
[;116.3727;,;39.9573;];2017-08-05T;08:22:16
[;116.3727;,;39.9573;];2017-08-05T;08:22:16
[;116.3729833;,;39.95096667;];2017-08-05T;08:32:09
[;116.3729833;,;39.95096667;];2017-08-05T;08:32:09
[;116.37265;,;39.94805;];2017-08-05T;08:35:17
[;116.37265;,;39.94805;];2017-08-05T;08:35:17
[;116.3874167;,;39.9466;];2017-08-05T;08:40:36
[;116.3874167;,;39.9466;];2017-08-05T;08:40:36
[;116.3875333;,;39.94628333;];2017-08-05T;08:56:35
[;116.3875333;,;39.94628333;];2017-08-05T;08:56:35
[;116.3877833;,;39.94613333;];2017-08-05T;09:00:52
[;116.3877833;,;39.94613333;];2017-08-05T;09:00:52
[;116.3877833;,;39.94613333;];2017-08-05T;09:00:52
[;116.3877833;,;39.94613333;];2017-08-05T;09:00:52
[;116.4551333;,;39.90451667;];2017-08-05T;09:48:30
[;116.4551333;,;39.90451667;];2017-08-05T;09:48:30
[;116.4571167;,;39.90546667;];2017-08-05T;09:52:00
[;116.4571167;,;39.90546667;];2017-08-05T;09:52:00
[;116.4547667;,;39.87473333;];2017-08-05T;09:59:35
[;116.4547667;,;39.87473333;];2017-08-05T;09:59:35
[;116.4661667;,;39.8467;];2017-08-05T;10:04:09
[;116.4661667;,;39.8467;];2017-08-05T;10:04:09
[;116.4723833;,;39.80765;];2017-08-05T;10:10:28
[;116.4723833;,;39.80765;];2017-08-05T;10:10:28
[;116.47835;,;39.79968333;];2017-08-05T;10:14:55
[;116.47835;,;39.79968333;];2017-08-05T;10:14:55
[;116.4853667;,;39.79891667;];2017-08-05T;10:19:17
[;116.4853667;,;39.79891667;];2017-08-05T;10:19:17
[;116.4673667;,;39.80658333;];2017-08-05T;10:37:12
[;116.4673667;,;39.80658333;];2017-08-05T;10:37:12
[;116.4495833;,;39.82166667;];2017-08-05T;10:41:51
[;116.4495833;,;39.82166667;];2017-08-05T;10:41:51
[;116.44065;,;39.83516667;];2017-08-05T;10:50:34
[;116.44065;,;39.83516667;];2017-08-05T;10:50:34
[;116.4394;,;39.85155;];2017-08-05T;10:55:07
[;116.4394;,;39.85155;];2017-08-05T;10:55:07
[;116.4389167;,;39.85733333;];2017-08-05T;11:02:44
[;116.4389167;,;39.85733333;];2017-08-05T;11:02:44
[;116.4558667;,;39.89866667;];2017-08-05T;11:11:15
[;116.4558667;,;39.89866667;];2017-08-05T;11:11:15
[;116.45515;,;39.95185;];2017-08-05T;11:20:00
[;116.45515;,;39.95185;];2017-08-05T;11:20:00
[;116.3762833;,;39.96708333;];2017-08-05T;11:30:24
[;116.3762833;,;39.96708333;];2017-08-05T;11:30:24
[;116.3592833;,;39.97166667;];2017-08-05T;11:40:13
[;116.3592833;,;39.97166667;];2017-08-05T;11:40:13
[;116.3473333;,;39.98035;];2017-08-05T;11:50:21
[;116.3473333;,;39.98035;];2017-08-05T;11:50:21
[;116.3444167;,;39.97861667;];2017-08-05T;15:45:08
[;116.3444167;,;39.97861667;];2017-08-05T;15:45:08
[;116.3409333;,;39.97795;];2017-08-05T;15:50:14
[;116.3409333;,;39.97795;];2017-08-05T;15:50:14
[;116.3388;,;39.97655;];2017-08-05T;15:55:19
[;116.3388;,;39.97655;];2017-08-05T;15:55:19
[;116.3376;,;39.97696667;];2017-08-05T;16:01:20
[;116.3376;,;39.97696667;];2017-08-05T;16:01:20
